Price incl. 19 % VAT - valid from 01.01.2021;PNC;GARDENA Part Number
1,4;520312001;00642-00.600.06
1,63;520312101;00642-00.600.07
7,88;520312301;00643-00.600.02
3,39;520312401;00643-00.600.10
20,9;520312501;00643-00.600.14
3,13;520312801;00650-00.600.09
3,13;520312901;00651-00.600.13
4,31;520313101;00652-00.600.14
2,36;520313301;00652-00.600.26
30,29;520313401;00654-00.600.01
29,86;520313501;00654-00.600.06
3,13;520313701;00654-00.600.17
2,67;520313801;00654-00.600.28
3,08;520313901;00654-00.600.32
6,43;520314001;00656-00.600.08
21,59;520314101;00658-00.600.01
8,18;520314201;00658-00.600.06
2,77;520314301;00658-00.600.09
2,88;520314401;00658-00.600.11
1,49;520314501;00658-00.600.12
28,41;520314601;00659-00.600.01
4,7;520314701;00659-00.600.14
3,92;520314801;00659-00.600.32
2,74;520314901;00659-00.600.37
1,93;520315001;00659-00.600.38
18,72;520315201;00660-00.600.01
14,93;520315401;00663-00.600.11
2,23;520315901;00676-00.600.33
14,08;520316001;00676-00.600.41
12,38;520316101;00676-00.836.00
1,93;520316201;00691-00.600.01
8,98;520316301;00691-00.600.02
8,52;520316401;00691-00.620.00
2,95;520316501;00691-00.900.01
1,49;520316601;00691-00.900.02
1,87;520316701;00691-00.900.03
7,33;520316801;00691-00.900.06
2,9;520316901;00691-00.900.08
5,27;588185901;00750-00.021.00
3,75;520317201;00750-00.030.01
1,26;520317301;00750-00.030.06
81,17;588185801;00751-00.021.00
88,52;588186301;00752-00.021.00
3,37;520317601;00757-00.000.01
11,42;520317701;00802-00.620.00
10,91;520317801;00803-00.610.00
3,06;520318001;00803-00.611.00
3,06;520318201;00803-00.613.00
2,44;577192301;00804-00.702.00
6,87;577192401;00804-00.703.00
6,87;577193001;00805-00.703.00
